feature,importance
D_140_max,0.0005343393
R_22_mean,0.0005323305
B_38_3.0_sum,0.0005307623
D_41_sum,0.00053064094
S_24_max,0.0005305586
D_92_max,0.00052940106
D_133_last,0.0005262379
B_2_max,0.00052594545
B_20_sum,0.0005259022
B_18_min,0.0005256564
D_94_max,0.00052386994
D_113_min,0.00052262744
D_86_max,0.0005217699
D_81_min,0.000521745
D_103_min,0.00052130315
D_77_mean,0.00052066497
D_78_min,0.0005202568
R_26_min,0.00051945687
S_16_mean,0.0005190698
B_21_last,0.00051792024
D_68_5.0_sum,0.00051741046
R_12_max,0.00051542267
B_9_mean,0.00051373034
R_8_sum,0.0005121258
S_15_sum,0.0005090803
D_145_max,0.0005086874
B_13_last,0.00050787936
D_78_last,0.0005073141
D_84_sum,0.0005062107
R_18_min,0.00050541706
D_73_last,0.00050525705
R_4_sum,0.000504555
D_119_last,0.0005040574
B_10_last,0.0005002521
B_32_mean,0.00049896835
D_115_mean,0.0004955066
S_23_min,0.00049544714
B_8_max,0.0004947103
D_107_mean,0.00049438805
P_2_sum,0.0004943254
D_72_max,0.0004935031
R_2_mean,0.00049339514
B_17_max,0.0004926875
B_1_sum,0.00049121416
S_18_min,0.0004886919
D_129_min,0.0004878359
S_22_min,0.0004868381
B_3_sum,0.00048642626
B_33_max,0.00048316832
B_41_last,0.0004821093
D_139_max,0.00048074938
R_20_mean,0.00048052965
B_17_sum,0.00048026795
B_1_min,0.00047212112
D_52_mean,0.00046853742
D_119_mean,0.00046678924
R_4_max,0.00046669997
B_25_max,0.0004660206
D_117_6.0_sum,0.00046189036
D_83_sum,0.0004604998
R_24_max,0.00045962923
D_137_min,0.0004578489
D_115_max,0.00045559686
D_107_sum,0.00045485518
B_21_min,0.00045372723
R_18_mean,0.000450956
D_74_last,0.00045003675
B_10_min,0.00044896585
S_20_max,0.00044876587
D_111_last,0.0004457525
S_13_last,0.00044319459
D_143_mean,0.0004426514
B_6_max,0.00044230846
R_15_last,0.00044191923
S_20_min,0.0004398269
R_15_mean,0.00043719614
D_61_max,0.00043334533
S_27_mean,0.00043329253
R_9_max,0.00043172837
D_70_sum,0.0004316541
R_17_last,0.00043084423
D_96_last,0.00042906994
R_25_last,0.0004287725
B_27_mean,0.00042811735
D_81_mean,0.00042637807
D_130_min,0.00042593438
B_14_min,0.00042409106
B_11_mean,0.00042387057
D_102_mean,0.0004234079
B_19_max,0.00041550072
D_91_last,0.0004115326
B_24_mean,0.0004080082
R_13_max,0.0004078597
D_105_mean,0.0004039385
D_92_mean,0.00040017886
R_17_sum,0.00039333143
B_26_min,0.00039087428
R_28_sum,0.0003864147
D_141_sum,0.00038470636
D_122_min,0.0003783883
D_132_min,0.00037342956
D_42_sum,0.00037062087
D_127_min,0.0003691326
R_25_mean,0.0003681798
B_27_sum,0.00036612258
B_15_sum,0.00035294148
D_111_mean,0.0003517653
D_134_mean,0.00035173818
P_3_sum,0.00034849465
D_102_sum,0.00034683527
D_107_min,0.00033726127
D_61_sum,0.00032560944
D_68_6.0_sum,0.00032155353
B_16_mean,0.0003183083
D_109_sum,0.000317345
B_7_min,0.00030935655
B_16_sum,0.0002918753
D_132_mean,0.0002877183
D_81_max,0.00028739055
B_19_last,0.0002763407
D_45_mean,0.0002714097
D_79_min,0.00025836294
D_86_min,0.00025701977
B_32_sum,0.00017523023
B_3_mean,0.00013956026
D_117_nan_mean,0.0
D_87_last,0.0
D_120_nan_sum,0.0
D_136_min,0.0
D_120_nan_mean,0.0
D_117_nan_sum,0.0
D_126_1.0_sum,0.0
D_87_max,0.0
D_126_nan_sum,0.0
D_126_nan_mean,0.0
D_63_CO_sum,0.0
D_126_0.0_mean,0.0
B_42_mean,0.0
B_6_mean,0.0
D_71_sum,0.0
B_19_sum,0.0
D_117_4.0_mean,0.0
B_42_sum,0.0
B_42_min,0.0
D_117_3.0_sum,0.0
B_42_max,0.0
D_117_2.0_sum,0.0
B_42_last,0.0
B_23_min,0.0
D_116_nan_mean,0.0
D_116_nan_sum,0.0
D_116_1.0_mean,0.0
D_63_CO_mean,0.0
D_63_XL_sum,0.0
D_63_CR_sum,0.0
D_66_1.0_mean,0.0
D_68_nan_sum,0.0
D_68_6.0_mean,0.0
D_68_5.0_mean,0.0
S_23_sum,0.0
D_68_4.0_mean,0.0
D_56_mean,0.0
S_24_sum,0.0
B_7_mean,0.0
D_87_mean,0.0
D_68_2.0_sum,0.0
D_68_1.0_mean,0.0
D_68_1.0_sum,0.0
D_87_sum,0.0
D_66_nan_sum,0.0
D_66_1.0_sum,0.0
D_63_CR_mean,0.0
D_64_nan_mean,0.0
D_64_nan_sum,0.0
D_87_min,0.0
D_64_U_sum,0.0
D_64_R_mean,0.0
S_12_sum,0.0
D_119_sum,0.0
D_82_sum,0.0
D_63_XZ_mean,0.0
D_63_XZ_sum,0.0
D_63_XM_mean,0.0
D_63_XM_sum,0.0
D_63_XL_mean,0.0
D_114_nan_mean,0.0
D_116_1.0_sum,0.0
D_114_1.0_sum,0.0
D_114_nan_sum,0.0
D_105_max,0.0
D_108_max,0.0
D_142_max,0.0
D_142_min,0.0
D_142_sum,0.0
